Date,Australia,,Belgium,,Bulgaria,,Canada,,France,,Germany,,Greece,,Hong Kong,,Ireland,,Italy,,Japan,,Malaysia,,Mexico,,Netherlands,,New Zealand,,Portugal,,Singapore,,South Africa,,Spain,,Turkey,,UK,,US
2/9/1973,125.59,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,86.32,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,NA,2/9/1973,736.68,2/9/1973,103.19
2/12/1973,134.89,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,82.39,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,NA,2/12/1973,743.44,2/12/1973,103.41
2/13/1973,138.92,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,84.13,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,NA,2/13/1973,759.33,2/13/1973,105.52
2/14/1973,150.49,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,84.54,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,NA,2/14/1973,757.54,2/14/1973,105.03
2/15/1973,144.83,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,85.32,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,NA,2/15/1973,761.26,2/15/1973,104.13
2/16/1973,148.91,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,87.13,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,NA,2/16/1973,776.39,2/16/1973,103.71
2/19/1973,150.97,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,90.33,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,NA,2/19/1973,766.87,2/19/1973,103.71
2/20/1973,154.96,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,91.84,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,NA,2/20/1973,769.03,2/20/1973,103.45
2/21/1973,152.86,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,91.99,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,NA,2/21/1973,773.62,2/21/1973,102.2
2/22/1973,157.12,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,91.57,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,NA,2/22/1973,779.38,2/22/1973,102.91
