Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,,,,,,,,,,,,,,,,4099990000,4800040000,4779990000,5134510000,5189730000,5543090000,6172560000,5545320000,10557000000,7588100000,15096330000,17361760000,20340330000,26883910000,40223970000,39062500000,44792500000,32488700000,39933390000,47003330000,56221940000,71079200000,93772820000,98875480000,97452590000,1.12E+11,85145500000,76749870000,1.22E+11,1.51E+11,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276638442.6,285296007.1,189155431.3,137851622,142674569.8,139092209.9,141728184.4,94296932.75,96663319.86,91314450.44,90058008.36,105412463,196798215.7,166815679.1,176833871.5,168288844.9,144019727,414179630.9,353143988.8,371418617.8,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74E+11,8.50E+11,8.34E+11,1.74E+12,5.33E+12,2.25E+12,4.39E+12,5.28E+12,4.67E+12,5.25E+12,5.41E+12,7.63E+12,9.57E+12,8.85E+12,1.07E+13,8.10E+12,1.04E+13,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92E+11,6.90E+11,4.93E+11,8.21E+11,6.31E+11,4.97E+11,4.93E+11,9.90E+11,1.46E+12,1.94E+12,2.72E+12,4.36E+12,2.07E+12,3.90E+12,4.91E+12,3.89E+12,4.58E+12,4.68E+12,5.03E+12,4.49E+12,4.89E+12,6.22E+12,5.38E+12,7.86E+12,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,47128750000,3.69E+11,5.06E+11,5.66E+11,5.11E+11,6.62E+11,7.56E+11,1.09E+12,2.02E+12,3.02E+12,4.16E+12,4.97E+12,3.44E+12,3.65E+12,2.98E+12,4.33E+12,4.99E+12,5.06E+12,4.96E+12,3.44E+12,3.79E+12,6.70E+12,4.94E+12,4.00E+12,3.80E+12,6.05E+12,7.21E+12,8.80E+12,1.11E+13,1.60E+13,8.51E+12,1.33E+13,1.59E+13,1.38E+13,1.57E+13,1.74E+13,1.95E+13,2.16E+13,2.12E+13,2.66E+13,2.17E+13,2.38E+13,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04E+12,1.33E+12,1.04E+12,1.17E+12,9.93E+11,6.29E+11,6.17E+11,8.34E+11,9.02E+11,7.67E+11,,
Europe & Central Asia,,,,,,,,,,,,,,,,2.58E+11,2.35E+11,2.86E+11,3.87E+11,2.89E+11,2.83E+11,4.05E+11,4.12E+11,4.99E+11,5.51E+11,8.71E+11,1.30E+12,1.54E+12,1.78E+12,2.30E+12,2.20E+12,2.52E+12,2.34E+12,2.99E+12,3.19E+12,3.82E+12,4.67E+12,5.79E+12,7.14E+12,9.86E+12,9.31E+12,7.52E+12,6.38E+12,8.77E+12,1.01E+13,1.07E+13,1.42E+13,1.63E+13,8.24E+12,8.56E+12,9.01E+12,7.51E+12,8.49E+12,1.01E+13,8.96E+12,,8.82E+12,1.11E+13,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565600000,2010100000,2021300000,1556000000,522000000,747000000,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93496400000,1.39E+11,85978070000,91207340000,84276830000,48849670000,59181970000,61629650000,70083650000,55191870000,33323010781,46546100000,42005550000,44199850000,
Euro area,,,,,,,,,,,,,,,,1.49E+11,1.37E+11,1.28E+11,2.05E+11,2.00E+11,1.86E+11,1.51E+11,1.50E+11,1.84E+11,1.84E+11,3.71E+11,6.06E+11,6.23E+11,7.88E+11,1.13E+12,1.03E+12,1.18E+12,1.06E+12,1.36E+12,1.53E+12,1.78E+12,2.14E+12,2.63E+12,3.66E+12,5.53E+12,5.32E+12,4.36E+12,3.50E+12,4.96E+12,5.94E+12,6.12E+12,8.37E+12,1.01E+13,4.99E+12,6.01E+12,5.90E+12,4.97E+12,5.65E+12,7.09E+12,6.41E+12,6.12E+12,6.17E+12,7.94E+12,5.56E+12,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,33199890000,24000000000,,17940860000,17389180000,16564790000,16677890000,11168140000,10860470000,13232270000,19509170000,48926060000,71090260000,90903980000,1.23E+11,1.11E+11,1.48E+11,1.16E+11,1.19E+11,1.55E+11,1.91E+11,2.41E+11,2.90E+11,4.02E+11,4.31E+11,5.04E+11,4.68E+11,4.62E+11,7.26E+11,9.41E+11,9.60E+11,1.32E+12,1.80E+12,9.48E+11,1.43E+12,1.17E+12,1.03E+12,9.95E+11,1.12E+12,9.93E+11,7.87E+11,7.05E+11,8.89E+11,7.24E+11,7.97E+11,
